[abliterated] ja1_reasoning t00: 409 chars content / 635 chars reasoning, finish=stop, wall 54.6s
[abliterated] ja1_reasoning t10: 623 chars content / 2452 chars reasoning, finish=stop, wall 165.3s
[abliterated] ja2_explain t00: 1300 chars content / 2255 chars reasoning, finish=length, wall 167.3s
[abliterated] ja3_format t00: 0 chars content / 4943 chars reasoning, finish=length, wall 167.3s
[abliterated] en1_reasoning t00: 0 chars content / 9187 chars reasoning, finish=length, wall 166.7s
[abliterated] en1_reasoning t10: 0 chars content / 8706 chars reasoning, finish=length, wall 166.8s
[abliterated] en2_knowledge t00: 1662 chars content / 7422 chars reasoning, finish=length, wall 166.8s
[abliterated] code1_impl t00: 822 chars content / 2023 chars reasoning, finish=stop, wall 62.4s
[abliterated] code1_impl t10: 1013 chars content / 2230 chars reasoning, finish=stop, wall 66.8s
[abliterated] code2_debug t00: 0 chars content / 8551 chars reasoning, finish=length, wall 167.6s
[abliterated] sum1_summarize t00: 257 chars content / 1811 chars reasoning, finish=stop, wall 78.2s
wrote /tmp/abl/abliterated_quality.csv and /tmp/abl/abliterated_responses/
